Text,Paraphrase
I'm not just here to look pretty.,I'm not here just to look good.
"I'm sorry, but the answer's no.","I'm sorry, but my answer is no."
Tom cut me off.,Tom interrupted me.
I wish I'd been there.,I wish I had been there.
I didn't tell Tom anything.,I didn't say anything to Tom.
I'm happy with what I have.,I'm happy with what I've got.
A young child has a small vocabulary.,Very young children don't know many words.
What are some cute girl hairstyles?,What are some cute hairstyles for girls?
Why are you all here?,What are you all doing here?
A great number of accidents happen every year.,Many accidents happen every year.
"He said he would give me a call, but he hasn't yet.","He said he'd call me, but he hasn't done it yet."
Flower arrangement is a part of Japanese culture.,Ikebana is part of Japanese culture.
The shepherd always tries to persuade the sheep that their interests and his own are the same.,The shepherd always tries to persuade his flock that its interests and his own are one and the same.
She's my rival.,He's my rival.
I've got some chores to do.,I have a few household chores that I must do.
I have no one else to turn to.,I don't have anybody else to turn to.
I barely know Tom.,I hardly know Tom.
Are there seedless watermelons?,Do seedless watermelons exist?
There's nothing more you can do for me.,You can do no more for me.
I'll put off my visit to England till the weather is warmer.,I'll postpone my trip to England until it gets warmer.
"With regards to music, he is one of the most famous critics.","In music, he is a famous critic."
It fits perfectly.,It fits me just right.
What's the best fertilizer for tomatoes?,Which is the most suitable manure for the tomatoes?
I'm glad you weren't injured.,I'm just glad you weren't hurt.
An honourable death is better than a shameful life.,It is better to die honorably than to live in disgrace.
We had to call off the game because of the rain.,We had to postpone the game due to rain.
I know exactly where it is.,I know exactly where she is.
Tom's wife is called Mary.,Tom's wife's name is Mary.
Tom and John pretended they were brothers.,Tom and John pretended to be brothers.
Stop bullying him.,Stop bullying her.
Is there something you're not telling me?,Is there something you haven't told me?
Is there something you're not telling us?,Is there something you haven't told us?
I have nothing to do now.,I don't have anything to do now.
You're not going to like it.,You won't enjoy it.
Try to concentrate.,Try to focus.
I know you're trying very hard.,I know you've been studying very hard.
Tom is a blond.,Tom is blond.
Doesn't anyone care?,Is someone taking care of it?
Tom doesn't want to take that kind of risk.,Tom doesn't want to take such a risk.
Tom likes learning French.,Tom enjoys studying French.
Tom's socks don't match.,Tom's socks are mismatched.
What's the difference between a hedgehog and a porcupine?,What is the difference between hedgehogs and porcupines?
"All economic problems would be solved, if they made complacency taxable.","If the ruling class could profit from people who are okay with themselves, they would have a lot more money."
I don't blame her for this.,I don't blame him for this.
I didn't break any laws.,I haven't broken any laws.
Tom didn't break any laws.,Tom hasn't broken any laws.
We didn't tell a soul.,We didn't tell anyone.
This film is indeed an enduring masterpiece.,This movie is indeed a timeless masterpiece.
So far does anyone have any question?,Does anyone have any questions thus far?
Dr. George's secretary is Japanese.,Dr. Georges's secretary is Japanese.
I'm just tired.,I was just tired.
I don't know anybody in Boston.,I don't know anyone in Boston.
I thought you would say that.,I thought you'd say that.
Guillaume le Conquérant conquered l'Angleterre in 1066.,William the Conqueror occupied England in 1066.
Tom looked up at the sky.,Tom looked at the sky.
Tom did what he said he'd do.,Tom did what he promised to do.
"Listen, Tom, do you promise that you won't cease to love me even after hearing what I'm going to say now?","Tom, do you promise to still love me, despite what I'm about to tell you?"
This paper does not absorb ink.,This paper doesn't absorb ink.
"I expected to finish this work, but I couldn't.","I meant to finish this, but I didn't manage."
Could you explain?,Can you explain that?
Can you clarify that?,Can you explain this?
I didn't read it.,I haven't read it.
Would you mind watching my kids?,Could you babysit my boys?
Would you mind looking after my kids?,Would you mind babysitting my kids?
You've been very good to me.,You've been very nice to me.
You've been so kind to me.,You've been very kind to me.
I want to know where it came from.,I wonder where that came from.
Remember what I said to you yesterday.,Remember what I told you yesterday.
I accept the challenge!,I accept that challenge.
I will raise my children so that they will be protected from superstition.,I will bring my children up in such a way that they will be protected from superstition.
Tom tried to hug Mary.,Tom tried to embrace Mary.
"The light travels at about 186,000 miles a second.","Light travels at about 186,000 miles per second."
That seems suspicious to me.,That sounds fishy to me.
I don't like guys like Tom.,I don't like people like Tom.
No one likes to hear their work criticised.,No one likes to hear his or her own work criticized.
Did you manage to sleep?,Did you manage to get any sleep?
Did you get some sleep?,Did you get any sleep?
Were you able to sleep at all?,Did you sleep at all?
The baby stopped crying.,The baby ceased crying.
In the April we began the work.,We start to work in the month of April.
On the tray are five objects - three of them are keys.,"There are five items on the tray, three of which are keys."
This work calls for special skill.,This work demands specific abilities.
Instead of ink there was some kind of strange fluid in the bottle.,"Instead of ink, there was some unidentified liquid in the bottle."
Is the food good in this restaurant?,Do people eat well in this restaurant?
Enjoy the life!,Enjoy your life.
What is the precise meaning of the word?,What's the precise meaning of that word?
What does this word exactly mean?,What is the exact meaning of this word?
One word and you're a dead man.,"One more word, and you're dead!"
His popularity is falling.,His popularity is waning.
Tom went shopping for dog food.,Tom went to buy dog food.
They don't have to wrap it up.,You don't need to wrap it.
Tom seems pretty happy.,Tom seems quite happy.
You know it doesn't matter.,You do know it makes no sense.
Don't you smell something unusual?,"It smells weird, doesn't it?"
You're good at this.,You're good at that.
It's an improvement.,This is an improvement.
That sounds promising.,That sounds hopeful.
Tom's hands were dirty.,Tom's hands are dirty.
Tom didn't want to stand in line.,Tom didn't want to queue.
I didn't look.,I wasn't looking.
I wasn't staring.,I wasn't watching.
He's a victim of his own success.,She's a victim of her own success.
I'm not leaving without you.,I'm not going without you.
Tom is lifting weights.,Tom lifts weights.
I can't believe he's dead!,I can't believe she's dead!
Tom is a powerful man.,Tom is a strong guy.
Tom never wrote back to Mary.,Tom never wrote Mary back.
Tom ignored me.,Tom paid no attention to me.
Tom's room is messy.,Tom's room is a real mess.
Tom's enthusiasm is contagious.,Tom's enthusiasm is infectious.
Tom wrote Mary a love letter.,Tom wrote a love letter to Mary.
Tom will remain at home.,Tom is going to remain at home.
Tom will probably be here all afternoon.,Tom is likely to be here all afternoon.
Tom will probably be home soon.,Tom is probably going to be home soon.
Please give me a little more time.,"Give me a bit more time, please."
I don't want to lose any time.,I don't want to make any mistakes.
I assume you are talking about Tom.,I assume you're referring to Tom.
How long have I been asleep?,How long did I sleep?
How long was I asleep?,How long have I slept?
Do you agree with Dr. Burns or Ms. Roland?,Do you agree with Mr. Burns or do you agree with Mr. Roland?
She deserves better.,He deserves better.
I don't want him to see it.,I don't want him seeing this.
I told him what you did.,I told her what you did.
She refuses to listen to her mother.,He refuses to listen to his mother.
What if something goes wrong?,What if something went wrong?
I'm not defending him!,I'm not defending her.
I'm not related to Tom.,Tom isn't related to me.
Tom suddenly disappeared.,Tom unexpectedly vanished.
There is little hope of his winning the election.,There's hardly any hope that he'll win the election.
"If you have a problem with it, then get lost!","If something doesn't seem right, run away!"
Tom's feelings were not reciprocated.,Tom's feelings weren't reciprocated.
Being a prince is not that easy.,Being a prince isn't that easy.
Tom did it for his family.,Tom did that for his family.
Tom climbed up onto the roof.,Tom climbed onto the roof.
Tom is a man of many talents.,Tom is a very talented man.
I don't speak French fluently.,I'm not a fluent speaker of French.
"By investing wisely, she accumulated a fortune.",She accumulated a fortune by investing wisely.
I should've called a doctor.,I should have called a doctor.
Tom has curly hair.,Tom's hair is curly.
"Tom, I also want to know what your opinion of this is.",I would also like to know what Tom thinks of this.
I also want to hear Tom's opinion.,"Tom, I also want to hear your opinion."
I'm going to spend the weekend in Boston.,I'm in Boston for the weekend.
Tom felt like a fool.,Tom seems like an idiot.
Tom needed work.,Tom needed a job.
I would never do such a thing.,I'd never do something like that.
I'd never do a thing like that.,I would never have done such a thing.
Let's get some coffee.,Let's have some coffee.
I know Tom likes to travel.,"I know you like to travel, Tom."
Tom wouldn't say that.,Tom wouldn't have said that.
Tom is in a lot of pain.,Tom is in extreme pain.
I'll take responsibility.,I'll take the responsibility.
What's up with you today?,What's going on with you today?
Tom is not in his bedroom.,Tom isn't in his bedroom.
"Last night, the temperature went down to ten degrees below zero.",The temperature went down to minus ten degrees centigrade last night.
Emet doesn't like that woman.,Emet dislikes that woman.
I study many languages.,I'm learning lots of languages.
Tom helped us a lot.,Tom was a great help.
Tom was a big help to us.,Tom has been a great help.
Tom cooked dinner for Mary.,Tom cooked Mary dinner.
There is a full stop missing.,The period is missing.
Don't say such a thing behind her back.,Don't say such a thing in her absence.
Tom called Mary an idiot.,Tom called Mary a fool.
You need only ask him to pay the debt.,All you need to do is ask him to pay the loan.
I cannot forgive him just because he is a child.,I can't forgive him just because he's a boy.
I thought you'd changed.,I thought that you'd changed.
He came home exactly at ten.,He came home right at ten.
I had fun here.,I've enjoyed myself here.
A wooden chair is expensive.,Wooden chairs are expensive.
"By and large, your idea is a good one.","On the whole, your idea is sound."
Does that help?,Is it helping?
I broke my back.,I hurt my back.
You're patient.,You're very patient.
Tom said he was very tired.,Tom said he was extremely tired.
Tom said he was dog-tired.,Tom said he's very tired.
You need to follow your mother's advice.,You should follow the advice of your mother.
Is this the dictionary which you are looking for?,Is this the dictionary you're looking for?
"Tom, what's your dream for the future? ""I want to become a stay-at-home dad.""","What is your dream for the future, Tom? ""Mine? I want to become a househusband!"""
Effort for effort’s sake is meaningless. That effort must produce results.,Working hard for the sake of it is meaningless. That work must produce results.
"There are no cakes left? ""I ate them both...""","There are no more cakes? ""I ate both of them."""
Now introduce yourself with these sentences!,Now introduce yourself using these sentences!
There's a difference.,There is a difference.
I should never have thought they would take such a fancy to their teacher.,I never thought that they would like their teacher so much.
It's the best concert I've ever been to.,That's the best concert I have ever been to.
I wonder who Tom was talking to.,I wonder who Tom talked to.
Don't pressure Tom.,Don't antagonize Tom.
He has spent most of his working life as a diplomat.,He worked as a diplomat for many years.
He timed her in the marathon race.,He timed him during the marathon.
He drew up to her.,He moved close to her.
Tom tried to talk to us in French.,Tom tried to speak French to us.
"He lives up there, up on that mountain.","He lives over there, on that hill."
Tom is going to need some more money.,Tom will need some more money.
You seem to be having fun.,It sounds like you're having fun.
It looks like you're having a great time.,You look like you're enjoying yourself.
Certainly. I'd be glad to.,"Sure, I'll gladly do that."
He played the girl a piece of music of his own writing.,He played a tune for the girl that he'd written himself.
I never thought about it before.,I've never thought about that before.
Are you good at playing the piano?,Can you play the piano well?
Tom pointed his finger at Mary.,Tom pointed a finger at Mary.
He's now on the boat.,He's now aboard the ship.
Go and sit by your father.,Come and sit by me.
"That doesn't sound very convincing, but I believe you.","That doesn't sound really convincingly, but i trust you."
I want to live in Boston.,I wish I lived in Boston.
What would you do in her position?,What would you have done in his place?
The food is bad.,The food here is terrible.
Tom said that he would come back.,Tom said he'd be back.
Tom says he's not hungry.,Tom said that he wasn't hungry.
Tom said he wasn't hungry.,Tom says he isn't hungry.
I'm hoping Tom will help us.,I hope Tom is going to help us.
Her husband's illness caused her great anxiety.,She was very worried about her husband's health.
Tom asked for my number.,Tom asked me for my phone number.
Tom ate my cookies.,Tom ate my cookie.
"Everyone left, except for us.",Everyone left except us.
Don't thank me yet.,Don't thank me now.
I made fun of Tom's accent.,I made a joke about Tom's accent.
Anyone could have made it.,Anyone could've made it.
It could have been anyone.,It could be anybody.
It could be anyone.,It could've been anyone.
Would you mind if I asked you some questions?,Would you mind if I ask you a few questions?
Tom pulled out a pen.,Tom got out his pen.
Tom would've left a note.,Tom would have left a note.
He's getting suspicious.,She's getting suspicious.
Tom and I used to be close friends.,Tom and I were close friends.
This argument is pure rhetoric.,This argument is nothing more than rhetoric.
Tom said he would try.,Tom said he'd try.
I also did not call.,I didn't make a phone call either.
Laughter filled the room.,The room filled with laughter.
Nobody must know.,Nobody has to know.
The pigs are coming! Let's beat it!,Here come the police. Let's get out of here.
Don't let anybody see you.,Don't let anyone see you.
What brought you to Korea?,Why did you come to Korea?
Until when will you be in South Korea?,How long will you be in Korea?
I knew she was different.,I knew he was different.
We can do it ourselves.,We can do that ourselves.
Go say goodbye to them before they leave.,Go and say goodbye to him before he leaves.
Tom is in position.,Tom is on duty.
Tom might come.,Tom may come.
Not all of the boys laughed at him.,All of the boys didn't laugh at him.
Tom is my nephew.,Tom's my nephew.
Who's not busy?,Who's free?
I never want to talk to you again.,I don't want to talk to you ever again.
I told Tom I wasn't interested.,I told Tom I'm not interested.
We often fail to realize the extent to which we depend on others.,Often we don't manage to understand how much we completely depend on others.
Tom didn't mention that.,Tom didn't mention it.
Tom never spoke of her.,Tom didn't talk about it.
Tom is very busy.,Tom is very committed.
Tom is really busy.,Tom is too busy.
It wasn't a coincidence.,It was not a coincidence.
Tom likes football and music.,Tom likes soccer and music.
"When rain's fallen and the soil is moist, it becomes easier to pull out weeds.","After it rains and the ground is damp, it's easier to pull weeds."
"During summers, I used to go to Miami.",I always went to Miami in the summer.
Tom said he didn't feel tired.,Tom said he wasn't tired.
Tom said he's not tired.,Tom said he isn't tired.
Tom towel-dried his hair.,Tom dried his hair with a towel.
They looked on him as an authority.,They saw an authoriy in him.
Tom took Mary to dinner.,Tom took Mary out to dinner.
Tom was always there for me.,Tom has always been there for me.
It is doubtless that he was murdered.,There is no doubt that he was murdered.
Do you see the crown?,Are you looking at a crown?
We like playing in mud.,We like to play in the mud.
He makes frequent visits to Japan on business.,He often goes to Japan on business.
Tom is in trouble.,Tom swallowed the pill.
Tom has some problems.,Tom has issues.
Tom has problems.,Tom is in hot water.
I pride myself on my humility.,My humility makes me proud.
He is the greatest man in the world.,He is the tallest person in the world.
You're not as clever as you think.,You're not as smart as you think you are.
Could I go over to Mary's house to play?,May I play with Maria?
Tom appears to have given up.,It looks like Tom has given up.
Catch me if you can.,Try and catch me!
I had a feeling you'd say that.,I had a feeling you were going to say that.
Why didn't I think of that?,Why didn't you think of that before?
How did you know it was me?,How did you find out it was me?
Who's the lucky one?,Who is the lucky guy?
I'm not counting on it.,I don't trust her.
"The outside of this box is green, but the inside is red.",This box is green on the outside and red on the inside.
You will do no such thing.,You'll do nothing of the kind.
He has an air of mystery about him.,She has a mysterious air about her.
I was trying to protect you.,I tried to protect you.
You don't have to make up your mind right now.,You don't have to decide right now.
Tom is no longer welcome here.,Tom isn't welcome here anymore.
Did you speak to Tom yesterday?,Did you talk to Tom yesterday?
Three beers and a tequila please!,Three beers and one tequila please!
I am ashamed of my son's laziness.,I'm ashamed that my son is such a lazybones.
Do you want it or not?,Do you want this or not?
He told me I was pretty.,He said I was pretty.
I obey instructions.,I'm following the guidelines.
I thought you were living with Tom.,I thought you lived with Tom.
Why didn't he call me back?,Why didn't you call me back?
That looks like Tom.,That sounds like Tom.
"In case of fire, press this button.",Push this button in case of fire!
This run of good luck won't last forever.,This lucky streak won't last forever.
You have to ask Tom first.,You should ask Tom first.
Since when are there fireworks?,Since when have there been fireworks?
That doesn't prove anything.,That doesn't prove a thing.
"Where have you been, Tom?","Where were you, Tom?"
Tom gave Mary plenty of money.,Tom gave Mary a lot of money.
You're careless.,You're negligent.
Tom was here.,Tom has been here.
I'm not able to speak so fast.,I can't speak that fast.
That the earth is round is clear now.,It is evident that the Earth is round.
When are you going to get dinner ready?,When will dinner be ready?
Tom is preparing coffee.,Tom is making coffee.
I'd like to change clothes.,I want to change my clothes.
It's almost dark.,It's nearly dark.
I'm very busy now.,I'm very busy right now.
"Owing to the bad weather, the game was put off.",The game was postponed because of the bad weather.
The Tokaido line terminates at Tokyo.,The final stop of Tokaido line is Tokyo.
One such language is Esperanto.,An example of that kind of language is Esperanto.
This is the car with the most speed.,That is the fastest car.
"She is in Mallorca, sunbathing by the sea.","She's in Mallorca, sunbathing on the beach."
This was a great idea.,That was a brilliant idea.
Is this absolutely necessary?,Is that absolutely necessary?
He has set off for Kyushu.,He has left for Kyushu.
"She seldom, if ever, goes to movies by herself.","She rarely goes, if ever, alone to the movie theater."
"This hot summer day, Mary had a crop top on.","On this hot summer day, Mary wore a midriff-baring T-shirt."
Mary batted her eyelashes at Tom.,Mary winked at Tom.
Tom said he could do nothing.,Tom said he couldn't do anything.
Tom ripped out the page.,Tom ripped the page out.
I wrote that for Tom.,I wrote it for Tom.
I parked my car by the gate.,I parked my car near the main entrance.
You are always wrong.,You're always wrong.
Tom is doing the laundry.,Tom is doing laundry.
"What's happened, has happened. It's history.",What's done is done. It's history.
What choice do we have?,Do we even have a choice?
Where did you and Tom first meet?,Where did you and Tom meet each other?
Tom thinks you're cute.,Tom says you're cute.
I wonder if Tom ever cries.,I wonder whether Tom ever cries.
One tends to shout when excited.,People tend to raise their voices when they get excited.
"Here, have a drink.","Here, drink this."
I'm not going to tell you the reason.,I won't tell you why.
I like German doughnuts a lot.,I like German crowns a lot.
Tom went with Mary to the museum.,Tom went to the museum with Mary.
"Except for Tom, I didn't know anyone there.","Aside from Tom, I don't know anyone there."
We don't need your money.,We don't want your money.
Tom is very childish.,Tom is very immature.
Tom is acting like nothing happened.,Tom is acting as though nothing's happened.
Tom acted like nothing had happened.,Tom pretended nothing had happened.
Please take off your shoes at the door.,Please take your shoes off at the door.
Tom was obviously disappointed.,Tom was clearly disappointed.
We're very busy just now.,We're pretty busy right now.
The grapes seem to be sour.,These grapes taste sour.
This is going to be a problem.,That will be a problem.
Death is imminent.,Death is inevitable.
Tom smiled back at Mary.,Tom returned Mary's smile.
Tom is a skillful driver.,Tom is an experienced driver.
A reasonable compromise must be found.,It is necessary to find a reasonable compromise.
If there's a good way to sound out whether a woman has a boyfriend or not please tell me.,"If there's a way to tell whether or not a girl has a boyfriend, please tell me."
She was cool toward me today.,She acted distant towards me today.
"A-ha-ha ... sorry. I forgot my contacts, Unless I'm right here I can't see it.","Oh, sorry for not noticing you. I can only see it (the game) from here."
He seemed to enjoy his life and his work.,It looks like he's enjoying his life and his work.
You should've trusted me.,You should have trusted me.
Tom wouldn't want that.,Tom wouldn't want this.
I'm not scared of anybody.,I'm not afraid of anyone.
I'm just looking for Tom.,I'm looking for Tom now.
I'm not certain about anything.,I'm not sure about anything.
Don't do something you'll regret later.,Don't do anything you'll regret later.
"I can say this now, but for a while I hated your guts.","I can say that now, but a little while ago I hated you."
I can now die a happy man.,I can die happy now.
Can you decipher the message?,Can you decode the message?
Tom handed Mary her bag.,Tom handed Mary his wallet.
I wonder whose these scissors are.,I wonder whose scissors these are.
I've heard that in Germany beer is cheaper than water. Is that true?,I heard that beer was cheaper than water in Germany. Is that true?
The problems of our age require new thinking.,Contemporary problems require a new approach.
Sitting at the adjoining table was a German-speaking couple.,At the neighbouring table sat a German-speaking couple.
Tom has much more experience than Mary does.,Tom has far more experience than Mary.
I don't think that Tom will help us.,I don't think Tom is going to help us.
Is it far from here to Boston?,Is Boston very far away?
He has submitted to an operation.,He decided to be operated on.
He decided to have the operation.,She decided to have surgery.
Why did you leave?,Why did you guys leave?
This sentence sounds unnatural to me as an American.,"As an American, this sentence sounds unnatural to me."
Your car is repaired now.,Your car has been repaired now.
Nothing is as difficult as explaining something difficult in a simple manner.,Nothing is as difficult as coming up with a simple explanation for something difficult.
There won't be a choice.,There won't be an alternative.
They didn't have any roses.,They did not have any roses.
Tom had a lot of respect for Mary.,Tom had great respect for Mary.
Tom's condition worsened.,Tom's condition has worsened.
Tom liked that idea.,Tom liked the idea.
Did you take Tom's advice?,Did you follow Tom's advice?
"A voyage, during which one cannot speak directly with the inhabitants of the places visited: can it give anything of value to the voyager?",Can a trip during which one can't talk directly with the residents of the visited locations give anything valuable to the traveler?
A young woman was playing a guitar while singing along in front of the fountain.,A young woman was singing and playing the guitar in front of the fountain.
Did somebody hear something?,Did someone hear something?
Tom and I used to be roommates.,Tom and I were roommates.
I haven't spoken French for years.,I haven't spoken French in years.
We have a huge problem. It’s the money we lack.,We have a huge problem: the lack of money.
This dog is not mine.,This isn't my dog.
I've got my own problems.,I've got problems of my own.
Tom sits in his room all day and does nothing.,Tom is sitting all day in his room accomplishing nothing.
Tom looked at the map.,Tom referred to the map.
Tom noticed what was going on.,Tom realized what was happening.
Can you pick up Tom?,Can you get Tom?
I hate myself sometimes.,Sometimes I hate myself.
Tom had no alibi.,Tom didn't have an alibi.
I'd better be getting home.,I'd better get home.
"Aside from his work, he has no other interests.","He has no interests, apart from his work."
Tom discovered that he had made a mistake.,Tom realized he'd made a mistake.
I don't understand why anyone would do that.,I can't figure out why someone would do something like that.
Tom was quite upset.,Tom was pretty upset.
I don't know if that's a good idea.,I don't know if this was such a good idea.
Tom seems to want to say something.,Tom looks like he wants to say something.
Tom already did that.,Tom has done that already.
Tom has already done that.,Tom did that already.
"You're not afraid of heights, are you?","She isn't afraid of heights, is she?"
Tom's not a good liar.,Tom is a bad liar.
Tom got wounded in the battle.,Tom was wounded in the war.
Tom is a famous chef.,Tom is a renowned chef.
You do look a little better today.,You look a bit better today.
He was late to his own wedding.,She was late at her wedding.
Tom and Mary went outside.,Tom and Mary started walking.
Tom and Mary have left.,Tom and Mary are gone.
She has a ring whose value is beyond belief.,She has a ring worth more than she can imagine.
I'm cooperating.,I'm cooperative.
I just wanted to apologize.,I just wanted to say I'm sorry.
I'll have my revenge.,I'll get my revenge.
There's a bomb on board!,There is a bomb in the plane!
Tom realized Mary was unhappy.,Tom realized that Maria was miserable.
Tom is a little older than me.,Tom is somewhat older than I.
Tom is stronger than he looks.,Tom is older than he looks.
We started talking.,We began to talk.
How well can you skate?,Are you any good at ice skating?
Tom doesn't have anybody.,Tom has got nobody.
You cannot calculate on his punctuality.,You can't depend on him to be punctual.
The only thing we can do is try it.,One can but try.
This day was exceptionally tiring.,This day has been exceptionally tiring.
I promise I won't do that again.,I promise never to do that again.
Did you get the check?,Have you received the cheque?
Tom nodded his agreement.,Tom nodded in agreement.
Can somebody help?,Can anyone help?
Tom is in the witness box.,Tom is on the witness stand.
I think I just figured it out.,I think I understand it now.
That painting has started to grow on me.,"Little by little, I'm beginning to like that painting."
In April there were not many holidayers on the island.,There weren't many visitors spending their vacations on the island in April.
He became rich through hard work.,She became wealthy thanks to hard work.
I wonder what Tom is doing here.,I wonder what Tom was doing in here.
Tom is very naive.,Tom is really gullible.
Tom is very gullible.,Tom is very trusting.
Tom is so gullible.,Tom is a very naive person.
We're very excited.,We're so excited.
When did he arrive here?,When did he come here?
I shouldn't be here.,I'm not supposed to be here.
I have another idea.,I have a different idea.
I can't draw a bird.,I don't know how to draw a bird.
That's a beautiful name.,That's a pretty name.
Tom has a grown daughter.,Tom has a grown-up daughter.
I didn't have any problems.,I wasn't having any problems.
This is my friend's letter.,This is the letter from my friend.
Where are my things?,Where are my clothes?
Where's my shirt?,Where's my stuff?
Tom is with me.,I've got Tom with me.
That's really not necessary.,It's not really necessary.
That really isn't necessary.,That isn't really necessary.
And why isn't this an interesting topic?,And why is that topic of interest?
I saw him cry.,I saw you crying.
I saw her crying.,I saw him crying.
You often find that sympathy gives place to love.,You often find that sympathy turns into love.
Tom has braces.,Tom has suspenders.
Is Tom joking?,Is Tom kidding?
I'll vouch for you.,I will vouch for him.
I can't believe that you like that restaurant.,I don't understand how you can like this pub.
I already told Tom.,I've already told Tom about it.
I accept your apology.,I accept your apologies.
She hurt her elbow when she fell down.,"When she fell, she hit her elbow."
She hit her elbow when she fell.,She hit her elbow during a fall.
Tom must have seen me.,Tom must've seen me.
Tom would've been able to do it.,Tom would be able to do that.
I want to know the truth.,I want to hear the truth.
I lost three kilograms.,I've lost three kilos.
He has occult powers!,He has otherwordly powers!
Tom is distantly related to Mary.,Tom is a distant relative of Mary's.
I wonder how this works.,I wonder how that works.
The zipper is stuck.,The zipper's stuck.
Tom doesn't know what Mary expects from him.,Tom doesn't know what Mary hopes he does.
His letter alludes to the event.,His letter indirectly refers to the matter.
Would that the thoughts in my head would come out like a receipt from a cash register.,If only my thoughts were to come out of my mouth like a receipt being printed.
I think Tom worries too much.,"I think you worry too much, Tom."
"Are you still awake? It's already three where you are, right?",You're still awake? Isn't it already three over there?
Tom looked at the floor.,Tom stared at the ground.
Tom and Mary are eating breakfast.,Tom and Mary are having breakfast.
Love is not enough.,Love isn't enough.
Don't make me angry.,Don't make me mad.
I knew you were going to do that.,I knew you'd make it.
I knew that you'd do that.,I knew you'd do that.
What did Tom look like?,How did Tom look?
How did Tom sound?,What was Tom like?
I'd agree with that.,I'd go along with that.
One thing I've always wanted to do is learn how to cook like you.,I've always wanted to learn to cook like you.
"Why are you doing that, Tom?","Why do you do it, Tom?"
"We will be conducting an inspection on your stomach tomorrow morning at nine, so please do not ingest anything for twelve hours beforehand.","You're having a gastroscopy at nine o'clock tomorrow morning, so please don't have any solid food or liquids from nine o'clock tonight."
We can't tell anyone.,We can't tell anybody.
I hope to soon know much more than a few sentences in Dutch.,I hope that very soon I will know more than just a few sentences in Dutch.
Who will go there is not yet decided.,Who'll go there isn't yet decided.
Tom and I both speak French.,Both Tom and I speak French.
That's an excellent wine.,This is excellent wine.
Tom is not often wrong.,Tom isn't often wrong.
Tom is the last person to break his promise.,Tom would never break a promise.
Tom is a person who would never break a promise.,Tom never breaks promises.
Tom never breaks his promises.,Tom never breaks a promise.
"He is, so far as I know, a reliable friend.","As far as I know, he is a reliable friend."
"Were it not for laziness, he might have been rich.","If he wasn't lazy, he might be rich by now."
Tom fooled all of us.,Tom fooled us all.
Tom never listens to me.,Tom doesn't ever listen to me.
What's your favorite kind of book to read?,What kinds of books do you like to read?
I don't think you're heartless.,I don't think that you're heartless.
Tom has friends all over the world.,Tom has friends in every corner of the world.
Why did you do something stupid like that?,Why did you do such a stupid thing?
This wasn't your fault.,This one wasn't your mistake.
Tom broke his arm.,Tom has broken his arm.
I have to change the batteries in the radio.,I have to replace the radio's battery.
Tom thinks that he's always right.,Tom thinks he's always right.
Tom cried a lot.,Tom was crying a lot.
The doctor emphasized that the patient had only a few days.,The doctor emphasized that the patient only had a few days to live.
The plants were damaged by the frost.,The plants suffered damage from the frost.
My friends urged me to write my memoirs.,My friends pushed me to write a memoir.
You should read Shakespeare's sonnets.,You should be reading Shakespeare's sonnets.
I'm not going to see you again.,I won't see you again.
I'm sorry for calling so late.,I'm sorry to call you so late at night.
The honeymoon will be spent abroad.,We're planning to spend our honeymoon abroad.
Does this have anything to do with Tom?,Does it have something to do with Tom?
I am the law!,I'm the law.
We won't let that happen.,We aren't going to let that happen.
Why are you being so kind?,Why on earth are you so kind?
It's going to happen sooner or later.,"Sooner or later, it's going to happen again."
Could you explain a bit easier for me to understand?,Please explain it in a way that's easier to understand.
Could you explain it more simply?,Please explain it more simply.
Are you really going to go out on such a cold day? Why don’t you reconsider?,Are you really going out on such a cold day? I think you’d be better off not going out.
What time does the parking lot close?,The parking lot is open to until when?
Tom doesn't appear to hear us.,Tom doesn't seem to hear us.
Do you have difficulty losing weight?,Do you have difficulties getting your weight down?
We had only one chance.,We only had one opportunity.
Something was bothering him.,Something was bothering her.
Tom is thirty now.,Tom is now thirty years old.
Tom hardly ever talks.,Tom hardly talks at all.
Spare some change?,Can you give me a euro?
He tried to draw the bow with all his strengths and shoot an arrow distantly.,He tried with all his might to stretch the bow and shoot the arrow as far as possible.
Be careful. There is danger lurking in every corner.,Be careful! Danger lurks everywhere!
I swept the floor in the kitchen.,I swept the kitchen floor.
I just wanted to warn you.,I just wanted to give you a heads-up.
I've got lots to say.,I've got a lot to say.
It would be difficult.,That would be hard.
Now you try.,Now you try it.
He lost sight of the bird.,He lost sight of that bird.
You find it in any dictionary.,This can be found in any dictionary.
We all wished for peace.,We all desired peace.
"Will you help me in the kitchen, please?",Please help me in the kitchen.
I never should've hired Tom.,I never should have hired Tom.
Can you help us?,Can you give us a hand?
Tom is almost never home.,Tom is hardly ever at home.
Tom was very late.,Tom was too late.
How many hours a week do you work?,How many hours do you work per week?
I just don't know.,I simply don't know.
The teacher's talk stimulates Mary to study harder.,What the teacher said got Mary to study harder.
What if we should fail?,What happens if we fail?
My office is in the central area of the city.,My office is located downtown.
He could not find what I had hidden.,He didn't find what I hid.
I'll pick up Tom in an hour.,I'll pick Tom up in an hour.
Never did I expect that I would see him there.,I never thought I'd see him there.
Strange things are happening.,Strange things happen.
They are approaching.,They're getting closer.
Leave my house and never return.,Get out of my house and never come back.
I could use a little help here.,I could use some help here.
