Text,Paraphrase
What time is it by your watch?,What time does your watch say it is now?
What's the time according to your watch?,What time is it according to your clock?
Do you know how to use a personal computer?,Can you use a computer?
I've known Jim ever since we were children.,I've known Jim since my childhood.
Do I have to stay in the hospital?,Do I have to be hospitalized?
There is a TV remote control under the couch.,The TV remote control is under the couch.
Can you give me a ride to the station?,Could you give me a lift to the train station?
Can you drive me to the station?,Could you drive to the station?
I do not think it will rain this afternoon.,I don't think it'll rain this afternoon.
"Next time, I'll do it myself.",Next time I will do it myself.
"Whenever I get thirsty, wake me up. — ""How can I tell when you're thirsty?"" — ""It's whenever you wake me up.""","If I'm thirsty, wake me up. ""When are you thirsty?"" ""Every time you wake me up"""
Would you give me a discount?,Can't you discount it a little?
"What does the word ""get"" mean in this sentence?","What is the meaning of the word ""get"" in this sentence?"
You may invite whomever you like.,You may invite any person you like.
You may invite whoever you like.,You can invite whomever you desire.
You may invite anyone you like.,You can invite anyone you want.
You may have read this book already.,It is possible that you have already read this book.
You are to apologize to her for it.,You should apologize to her for that.
You would do well to tell it to him in advance.,You should tell him about that in advance.
You should swear on the Bible.,You must swear with your hand on the Bible.
You seem an honest man.,You seem to be an honest man.
It's time for you to buy a new car.,You should get yourself a new car now.
You can rely on him. He never lets you down.,You can trust him. He'll never betray you.
Do you wash your hands before meals?,You should always wash your hands before meals.
You have a way with women.,You're good with women.
You should give up drinking and smoking.,You should give up smoking and drinking.
Would you mind taking a picture of us?,Could you take our picture?
Could you take a picture of us?,Can you take a photo of us?
You should get your car fixed.,You should get his car fixed.
You should acknowledge your failure.,You must recognize your failure.
Did you actually see the accident?,Did you see the accident with your own eyes?
"You can drive a car, can't you?","You can drive, can't you?"
Do you have a room of your own?,Do you have your own room?
These are my books; those are his.,These books are mine and those books are his.
That is wet.,She's wet.
He's wet.,That's wet.
Had I said something stupid?,Did I just say something stupid?
Are you from a planet solely populated by women?,Are you from a planet on which only women live?
I don't understand the way that he thinks.,I can't understand his ideas at all.
I can't understand her way of thinking at all.,I cannot understand his ideas.
There is no use in crying. No one will hear you.,Crying won't help. No one will hear you.
I can't say.,I can't talk.
I can't tell it.,I can't say that.
I cannot say.,I'm unable to say.
I'm not allowed to talk.,I can't speak.
Insist on the best.,Don't settle for less.
I'll come as soon as possible.,I come as soon as I can.
I'll visit whenever I can.,I will come when I can.
I changed my address last month.,I moved last month.
My father is a teacher of the English language.,My father is an English language teacher.
Musk is one of the best scents.,The scent of musk is one of the best smells there is.
"I haven't seen anyone that enjoyed a better life than his, even though his living conditions were terrible.","I've never seen someone have such a good life, despite all the struggles he had."
"I would love to write hundreds of sentences on Tatoeba, but I've got things to do.","Above all I want to write hundreds of sentences in Tatoeba, but I have to work."
You need not telephone me.,Don't bother to call me.
You don't need to call me.,They need not have called me.
"By the time that he tried 966, Dima was beginning to give up hope.","When Di Ma tried for the 966th time, he had already begun to lose hope."
All human beings are mortal.,All shall die.
All men must die.,Man is mortal.
Man is bound to die.,Everyone dies.
Everyone must die.,Death is the fate of all people.
Death is everyone's fate.,There's no cure for death.
All men are mortal.,Everybody dies.
Every man must die.,Every person must die.
The girl resembles her mother.,He resembles his mother.
She takes after her mother.,She's like her mum.
That girl looks like her mother.,He looks like his mother.
Looks like his mom.,Looks like her mom.
He is taller than me by a head.,He is taller than I.
He is a head taller than me.,She is much taller than me.
He's taller than I am.,She is taller than me.
I grew up on watching Pokémon.,I grew up watching Pokemon.
He is timid as a hare.,He's as timid as a rabbit.
He's very timid.,You're very timid.
She's very shy.,He's very shy.
You're very shy.,He is very fearful.
"May I see your driver's license, sir?",Let me take a look at your driver's license.
May I see your license?,Please show me your driver's license.
Can I see your driving license?,"Show me your driving license, please."
Two detectives followed the suspect.,Two detectives pursued the suspect.
Please speak to me in English.,Please speak English.
Your eyes remind me of stars.,Your eyes are like stars.
They decided to marry.,They decided to get married.
I wonder if he loves me.,I wonder if he likes me.
You are the man I've been looking for.,You are the very person I have been looking for.
You're just the person I've been looking for.,You are the one that I was looking for.
You are exactly the person I am looking for.,You're just the person I was looking for.
To love and to be loved is the greatest happiness.,It is the greatest happiness in life to love and to be loved.
All humans are good at heart.,There are no devils in this world.
All people are good at the bottom of their hearts.,There are good people in the world.
A firewall will guarantee Internet security.,A firewall guarantees your security on the internet.
Prices are high.,The prices are high.
Misfortunes never come singly.,These things always happen in threes.
It's a double whammy.,Jump out of the frying pan into the fire.
Misery loves company.,Misfortunes seldom come singly.
Misfortunes always come in threes.,Misfortune never come single.
Misfortunes rarely come singly.,A misfortune never comes alone.
"It never rains, it pours.",Third time's the charm.
All good things come in threes.,Misfortune never comes singly.
Suffering shared is half as painful.,It never rains but it pours.
We must be loyal to our principles.,We should be faithful to our principles.
An integer is natural iff it is greater than or equal to 0.,An integer is natural if and only if it is greater or equal to 0.
The milk was adulterated with water.,Milk doesn't mix with water.
Women are employed at a lower salary than men.,Women earn less than men.
"My love, if the food isn't ready by seven o'clock, I'm going to go to the restaurant.","If dinner isn't ready by seven, I'm going to a restaurant."
"Sushi is good, but Thai dishes are better.","Sushi sounds good, but I'd rather eat Thai food."
He'll be along in ten minutes.,He'll be there in ten minutes.
He came after ten minutes,He came ten minutes later.
"Change the flag, please.",Please change the flag.
We want complete sentences.,Please complete this sentence.
They are suffering financial difficulties.,They are facing financial problems.
I can do it myself.,I can do this alone.
I can do this on my own.,I'm capable of doing that myself.
I can do that by myself.,I may do that myself.
The man caught the girl by the wrist.,That man grabbed the young girl's wrist.
How long are you going to stay in Japan?,How long will you stay in Japan?
I'm not Swiss.,I am not Swiss.
Yesterday I simply did not go to work.,"Yesterday, I simply couldn't go to work."
I just didn't want to go to work yesterday.,I just skived off yesterday.
I am really tired of living.,I'm really sick of life.
Sami got down.,Sami went down.
Layla hit Sami.,Layla struck Sami.
Sami accepted it.,Sami acknowledged it.
"At the bottom of the letter he wrote ""Kind regards,"" then signed his name.","He wrote ""regards"" at the end of the letter and then signed his name."
Which browser are you using?,Which browser do you use?
Why do you have to do that?,Why do you need to do this?
The train arrived on schedule.,Our train arrived on time.
The train got in on time.,The train came on time.
The train arrived bang on time.,The train arrived right on time.
That rings a bell.,Your face is familiar to me.
It looks familiar.,It sounds familiar.
That looks close.,That seems familiar to me.
It reminds me of something!,That sounds familiar.
This sounds familiar.,You look familiar.
They look familiar.,That looks familiar.
You seem familiar.,I feel like I know you.
I've seen you somewhere before.,He looks familiar.
I think I know you.,This looks familiar.
I get the feeling that I've heard that somewhere before.,This seems familiar.
This is a car.,Here's a car.
My ears feel stuffy.,My ears feel like they're stuffed up.
Only he read the letter.,He's the only one who's read this letter.
"But for the safety belt, I wouldn't be alive today.","If it hadn't been for the seatbelt, I wouldn't be alive today."
You did this intentionally!,His mistake was intentional.
She did it on purpose.,He did that on purpose.
"You did it on purpose, didn't you?",You did this on purpose!
She laughed so hard she cried.,She laughed till she cried.
Layla lost her life.,Layla was deceased.
Sami was praying.,Sami prayed.
I've had a lousy day.,I'm not having a good day.
I was having a bad day.,I had a bad day.
Sami was living a double life.,Sami led a double life.
Fadil was in fear for his life.,Fadil was fearful for his own life.
I want to buy.,I would like to buy.
Tom got to Boston yesterday.,Tom arrived in Boston yesterday.
Tom got soaking wet.,Tom got drenched to the skin.
Tom was soaked to the skin.,Tom got wet to the skin.
Tom got on the wrong train.,Tom took the wrong train.
Tom got on the wrong bus.,Tom took the wrong bus.
"She is two years old, but she can already count to 100.",She is only two years old but is able to count to 100.
The train is traveling at the rate of 50 miles an hour.,The train is going at a speed of 50 miles per hour.
Call me.,Please call me.
But what will you do if he doesn't come?,"If he doesn't come, what will you do then?"
I'm studying economics at university.,I'm studying economics in college.
I ain't got no kids yet.,I don't have any children yet.
I work parttime.,I have a part-time job.
I'll call the police.,I'm calling the cops.
I'm going to go call the police.,I'm calling the police.
It's the cops!,The police came.
The police are there.,The police are here.
The cops are here.,The police is here.
I get up at six every morning.,I get up at 6 o'clock every morning.
Have you ever traveled in a plane?,Have you ever traveled by plane?
There are exceptions to every rule.,There is no rule but has some exceptions.
The exception proves the rule.,Exceptions prove the rule.
Every law has its exception.,"There is no rule, but there are some exceptions."
An exception which confirms the rule.,There are no rules without exceptions.
Every rule has its exceptions.,There's an exception to every rule.
There is no rule without exception.,Every rule has exceptions.
Please talk about your family.,Please tell us about your family.
I rushed to the TV so I wouldn't miss the game.,I rushed to turn on the TV so I wouldn't miss that game.
"Seen my cell phone? ""On the table!""","Have you seen my cell phone? ""It's on the table."""
You'll never be alone.,You're not alone.
You aren't alone.,They aren't alone.
You speak fluent English.,You speak English fluently.
Sami danced beautiful.,Sami danced beautifully.
We talked about everything.,We talked to everyone.
Tom didn't answer right away.,Tom didn't respond right away.
It took a while for Tom to respond.,Tom didn't reply at once.
Tom didn't answer at once.,Tom didn't respond immediately.
Tom sometimes comes to see me.,Tom comes to visit me every once in a while.
Tom comes to see me sometimes.,Tom comes and sees me once in a while.
He left his son a fortune.,He left a large fortune to his son.
I bought a hat at the store.,I bought a hat in the shop.
Tom knows that he can win.,Tom knows he can win.
Let's travel together.,We'll be traveling together.
I have been to the station.,I went to the station.
Tom thinks Mary is lying.,Tom believes that Mary is lying.
Tom thinks Mary lied.,Tom thinks that Mary lied.
I've lost my glasses.,I can't find my glasses.
He's a goal keeper.,She's a keeper.
He will tell everything to me sooner or later.,Sooner or later he will tell me everything.
"Could you take this, please?","Take it away, please."
I keep nothing from you.,I keep nothing a secret from you.
I haven't kept any secrets from you.,I don't have secrets with you.
I'm not hiding anything from you.,I've got no secrets from you.
Milk? Sugar?,Any milk or sugar?
Would you like milk and sugar?,Do you need milk and sugar?
Would you like some sugar?,Do you want sugar?
They can fish.,They know how to fish.
It's been a long time since you broke up.,"Since they parted, a lot of water has flowed under the bridge."
They already left.,They're already gone.
Tom's undefeated.,Tom is impossible to beat.
Tom is unbeatable.,Tom is undefeated.
I'm smarter than you.,I'm smarter than him.
Tom wasn't surprised at all.,Tom wasn't at all surprised.
The big nations should not interfere with the smaller nations.,Large countries shouldn't interfere with smaller countries.
Let's not ruin this.,Let's not ruin it.
"You were there, weren't you?","You were there, right?"
I like reading mysteries.,I like reading mystery novels.
Is there a doctor in the house?,Is there a doctor on board?
He traveled on business.,He's away on business.
I'm fed up with your constant complaining.,I'm tired of your endless complaints.
Can I try this on?,Will you let me at it?
Can I try it?,Do you mind if I try this on?
"As I don't have the software that matches the attachment, I cannot open the file. Please resend it in another format.","Since I don't have the software to open the attached file, I can't open it. Please send it again in another format."
We took a taxi so as not to be late.,We took a taxi so we wouldn't be late.
Tell me where she is.,Tell me where he is.
Tell me where it is.,Tell me where you are.
I am tired and I want to go to bed.,I'm tired and want to lie down to sleep.
We made fun of him about this.,We made fun of him over this incident.
Tell him that I'll do it.,Tell him I'll do it.
Tom got to his feet and left the room.,Tom stood up and walked out of the room.
They already knew.,They already know.
He already knows that.,They already know it.
That man borrows money from many lenders.,That man is a heavy debtor.
Both Tom and Mary were dirty.,Tom and Mary were both dirty.
Tom wanted to buy a fur coat for Mary.,Tom wanted to buy Mary a fur coat.
I have been to the library.,I went to the library.
I was in the library.,I was at the library.
I could not make the train.,I was late for the train.
I couldn't catch the train.,I have missed my train.
I missed the train.,I couldn't make the train.
I can take the train.,I can go by train.
Tom has visited Australia three times.,Tom has been to Australia three times.
The Swiss keyboard doesn't have a ß.,The letter ß does not exist on a Swiss keyboard.
He works eight hours a day.,He works eight hours every day.
I do not read books.,I don't read books.
I can't allow that.,I can't let that happen.
I can't let this happen.,I can't allow that to happen.
I can't authorize that.,I can't allow it.
I can't permit that.,We must finish this.
We have to finish this.,I can't allow this.
Do you like to travel?,Do you like trips?
Do you like traveling?,Do you enjoy traveling?
Close your book.,Close the book.
Shut the book.,Close your books!
Tom gave Mary an apple.,Tom gave an apple to Mary.
I know that Tom is ready.,I know Tom is ready.
Whose bag is this?,Whose is this bag?
Whose handbag is this?,Whose container is this?
I am not good at sports.,I'm bad at sports.
Take my picture.,Take a picture of me.
"Sorry I didn't reply to your message earlier, I was busy.","Sorry for not responding earlier to your message, I was busy."
The President of France will visit Japan next month.,The French president is scheduled to visit Japan next month.
His attempt ended in failure.,Nothing has resulted from his efforts.
Sami disappeared.,Sami went missing.
Sami got caught.,Sami was caught.
Sami came home.,Sami arrived home.
"Father, today I'm going out with some friends. Of course, that's if you will allow it.","Father, today I'm going out with some friends. That is, of course, if you give me permission."
My father and mother were sitting under a tree.,My parents were sitting under the tree.
Peter and I would often go to the movies.,Peter and I often go to the cinema.
I want to visit Korea.,I want to go to Korea.
Japan and South Korea are neighbors.,Japan and Korea are neighbours.
"English is studied in China, too.",English is also studied in China.
She cabled us that she was coming.,"She sent us a telegram, informing that she would come."
"Man eats to live, he does not live to eat.",People do not live to eat but eat to live.
We are longing for world peace.,We want peace in the world.
We ran for 10 kilometers.,We ran for seven miles.
This book deals with China.,This book is about China.
Your parents love you.,Your parents really like you.
Sunday comes after Saturday.,After Saturday comes Sunday.
Monday comes after Sunday.,Sunday is followed by Monday.
Monday follows Sunday.,After Sunday comes Monday.
Put your hat on.,Put on your cap.
Put on your hat.,Put on the hat.
The sun gives us light and heat.,The sun furnishes heat and light.
That's like finding a needle in a haystack.,It is like looking for a needle in the sea.
He earns his bread as a writer.,He earns his bread by writing.
He makes a living as a writer.,He earns his living by writing.
I was laughed at by him.,They made fun of me.
He laughed at me.,He laughed in my face.
I had a flu shot.,I was vaccinated against the flu.
I do not do sports.,I don't care for sports.
I don't go in for sports.,I am not interested in sports.
Sport doesn't interest me.,I don't play sports.
I always catch a cold in the winter.,I always catch colds in the winter.
He likes to listen in to the radio.,He likes listening to the radio.
He likes to go to the beach now and then.,He likes going to the beach occasionally.
He likes to travel by himself.,He likes to travel alone.
The holy book of Muslims is the Qur'an.,The Koran is Islamic scripture.
"That party was off the hook, dude!","That party was great, Dude."
"He's not my boyfriend, it's just platonic love with benefits!",He's not my boyfriend. Just a friend with benefits.
I must have my watch repaired.,I must get my watch repaired.
My father does not eat much fruit.,My father doesn't eat fruit that much.
My father didn't eat much fruit.,Dad doesn't eat a lot of fruit.
Hello. This is Ogawa speaking.,Hello. My name is Ogawa.
This website is very useful.,This site is quite useful.
The popularity of a web site depends on its content.,The popularity of websites depends on their content.
My mother made me a new dress.,Mother made me a new suit.
My father bought this hat for me.,My father bought me this hat.
"It was a dark night, with no moon.","It was a dark, moonless night."
Thank you in advance for your help.,I thank you in advance for your assistance.
I appreciate what you've done for me.,I appreciate what you did for me.
"Though I may be in the jaws of death, I am as a firm as a rock.","Though I am in the tiger's mouth, I am as calm as Mount Tai."
We need help.,We're in need of help.
We need a hand.,We must get some help.
I want to ask you one last favor.,I need one last favor from you.
He is destitute of experiences.,He is lacking in experience.
He lacks experience.,"She lacks experience, doesn't she?"
I hate the winter.,I hate winter.
I have watched all of her films.,I've seen all his movies.
It must have been extremely painful.,It must've been extremely painful.
Wash your hands before meals.,Please wash your hands properly before eating.
It's hot.,It is warm.
The weather is hot.,The weather is very hot.
The weather is so hot.,It's warm.
It's new.,This is new.
This is something new.,They're new.
These are new.,That's new.
It is new.,It's something new.
I see Tom.,I can see Tom.
Look again.,Take another look.
I like rice.,I love rice
Is Tom there?,Is Tom in there?
Is Tom available?,Is Tom around?
Is Tom here?,Is Tom in?
Is Tom reachable?,Can't you get in touch with Tom?
Is Tom out there?,Is Tom nearby?
It may snow.,Maybe it will snow.
Where's Tom?,Where is Tom?
I'll ask him.,I'll ask her.
It's ours.,That belongs to us.
This is ours.,That's one of ours.
Is that to eat here or take out?,Here or to go?
"For here, or to go?",Will you be eating here or is this to go?
I love French.,I like French.
I love my dad.,I love my father.
I'll be in my car.,I'll be in the car.
Please back me up!,Cheer me up!
They are happy.,They're happy.
Tom has a car.,Tom owns a car.
Tom is my dad.,Tom is my father.
Don't stop him.,Don't interrupt him.
Am I allowed to use this?,Am I capable of using this?
Can I use it?,Can I use this?
It is OK for me to use that?,May I use that?
Tom knows.,I know Tom.
Tom knows her.,Tom knows him.
Tom knows it.,Tom knows that.
Tom knows this.,Tom knows you.
I've been getting to know Tom.,Tom does know that.
Tom knows about that.,Tom is aware of that.
He seems to have been happy.,He seems happy.
They seem happy.,She looks happy.
It seems that she's happy.,You look contented.
It seems that he's happy.,You look content.
You seem content.,She seems happy.
He looks happy.,You look satisfied.
You look happy.,You seem happy.
They look happy.,You seem to be happy.
You look pleased.,You look like you're satisfied.
How is your dad?,How's your father?
How is your father?,How's your old man doing?
It didn't break.,It's not broken.
I will see you home.,I'll see you at home.
Tom is no angel.,Tom isn't an angel.
Tom likes money.,Tom loves money.
Tom looks very happy.,Tom looked happy.
Tom seems very happy.,Tom seems to be happy.
Tom seems happy.,Tom looks very pleased.
Tom sounded happy.,Tom looks happy.
Tom seemed happy.,Tom looks so happy.
Tom appears satisfied.,Tom looks pleased.
Tom looks satisfied.,Tom looks smug.
Tom seems pleased.,Tom seems satisfied.
Tom actually seems happy.,Tom looks very content.
Tom looked pleased.,Tom seems cheerful.
Tom seems contented.,Tom seems lucky.
Tom looks like he's happy.,Tom seems really happy.
It looks like Tom is pleased.,Tom seemed satisfied.
Tom seemed contented.,Tom looked satisfied.
Tom seemed pleased.,Tom seemed lucky.
Tom was reading a book.,Tom read a book.
Tom understood.,Tom sympathized.
Tom understands.,Tom has caught on.
We are watching.,We're listening.
We will watch.,We're watching.
I'm not sure why.,I don't know why.
"I don't know why, exactly.",I don't know the cause.
I said I was sad.,I said I'm sorry.
Is she your mother?,Is that your mother?
Is she your mom?,Is that your mom?
Is that your mum?,Is that your mummy?
This is a great book.,This book is excellent.
This is a wonderful book.,It's a good book.
That book is a new book.,It's a new book.
This book's new.,The book is new.
Tom doesn't know.,Tom doesn't know that.
We're so sorry.,We're very sorry about that.
He didn't carry out his promise.,He did not abide by his promise.
He broke his word.,She failed to keep her promise.
He broke his promise.,He did not keep his word.
She did not keep her word.,He didn't keep his word.
She didn't keep her word.,You broke your promise.
I want to stay here.,I want to be here.
This isn't French.,That isn't French.
Tom loves reading.,Tom likes to read.
Tom loves to read.,Tom enjoys reading.
Watch how I do it.,Watch me do it!
Do you like running?,Do you like to run?
How's your brother?,How is your brother?
It's very hot here.,It's really hot there.
It's too warm in here.,It's very hot in here.
It's very warm here.,It's really hot here.
Take her to surgery.,Carry her to the operating room.
Tom is your brother.,Tom is his brother.
Tom is her brother.,Tom is your younger brother.
Tom is your big brother.,Tom is your little brother.
Tom knows I'm home.,Tom knows I'm at home.
Where are the girls?,Where are the children?
Where are the boys?,Where's the girl?
Where are the kids?,Where are our children?
Where are my children?,Where are my kids?
How do you know Tom?,How did you find Tom?
How did you meet Tom?,How did you get to know Tom?
How did you and Tom become acquainted?,How did you first meet Tom?
How did you hook up with Tom?,How do you happen to know Tom?
My family is a large one.,I have a large family.
I come from a big family.,I come from a large family.
I know you are rich.,I know that you are rich.
I know that you're rich.,I know you're rich.
"I'd like to go, too.","I want to come, too."
Where is Tom's house?,Where does Tom live?
Where's Tom's house?,Where's Tom's home?
Where is his family?,Where is her family?
Where's your family?,Where is your family?
Why isn't Tom here?,Why is Tom here?
Why is Tom out here?,Why is Tom not here?
Why is Tom absent?,Why's Tom here?
I want an MP3 player!,I need a musical instrument.
The woman is reading.,The woman reads.
Tom is not very happy.,Tom is not too pleased.
Tom isn't very happy.,Tom isn't too happy.
Tom saw Mary doing that.,Tom saw how Mary was doing that.
Are you going or staying?,Are you coming or not?
I know Tom likes Mary.,I know Tom loves Mary.
I know where he lives.,I know where you dwell.
I want him to read this.,I want you to read it.
You ought to listen to your mother.,Listen to your mother!
Obey your father.,Listen to your father.
No one's stopping you.,No one will stop you.
I like that about you.,That's what I love about you.
That's what I like about you.,That's why I love you.
That's why we are here.,That's why we're here.
Tom said he would be here.,Tom said he'd be here.
Her kindness touched me.,I was very moved by her kindness.
This is the first time for me to read the Bible.,It’s the first time that I read the Bible.
Sami loved life.,Sami just loved life.
Sami walked into the house.,Sami entered the house.
Sami walked in the house.,Sami went inside the house.
There is no reason why I shouldn't do it.,There is no reason for me not doing something.
The house requires repairs.,The house is in need of repair.
He took a notebook out.,He pulled out a notebook.
"Oh, I got it.","Ah, I see!"
I hope my dream will come true.,I hope my dream comes true.
Nothing remained in the refrigerator.,There was nothing left in the fridge.
Henry was dismissed by reason of his old age.,Henry was dismissed because he was old.
Don't sleep with the light left on.,Don't go to sleep with the light on.
She bore the pain bravely.,She put up with the pain quite well.
He did what he had been told.,He did what he was told.
He did what they told him.,He did as he was told.
"The temperature is below zero today, too.","Today, too, the temperature is below zero."
They looked for him everywhere but didn't find him.,"They looked everywhere for him, but couldn't find him anywhere."
We have no school tomorrow.,We don't have school tomorrow.
Tomorrow there will not be classes.,We don't have classes tomorrow.
Mary can dance well.,Mary dances well.
Go to school.,You go to school.
Sami got enraged.,Sami went ballistic.
Sami phoned the police.,Sami called the cops.
She wants to know who sent the flowers.,She's curious to find out who sent the flowers.
I spent twelve hours on the train.,I was in the train for twelve hours.
Sami mentioned that to Layla.,Sami told Layla that.
Sami was confused.,Sami was lost.
Nobody likes it.,Nobody wants it.
Nobody likes her.,Nobody likes him.
No one likes them.,No one likes him.
No one likes her.,Nobody likes that.
No one likes it.,Nobody wants that.
No one wants that.,Nobody likes them.
We talked over the plan with him.,We talked the plan over with him.
Sami provided police information.,Sami offered police information.
Won't you have some more coffee?,Would you care for more coffee?
Would you like more coffee?,Would you care for another cup of coffee?
I want to marry a girl like her.,I would like to marry somebody like her.
He lay on the bed.,He lay on his back on the bed.
He was lying on the bed.,He was lying in bed on his back.
Tom pretended not to see Mary.,Tom pretended he didn't see Mary.
Where is my ticket?,Where's my ticket?
I found out where Tom lives.,I found out where Tom used to live.
You want to go out for a drink?,Do you want to go out and get something to drink?
Tom is studying in the library now.,Tom is now studying in the library.
Almost everyone here can speak French.,Almost everyone here speaks French.
I'm here to save you.,I'm here to help you.
I came here to rescue you.,I'm here to assist you.
What does Tom think of this?,What does Tom think about this?
Tom and Mary both laughed.,Tom and Mary both started to laugh.
Both Tom and Mary laughed.,Tom and Mary both burst out laughing.
Tom says that he's very busy.,Tom says he's very busy.
Tom walked into the apartment.,Tom went inside the apartment.
I can't trust such a man as he.,I cannot trust a person like that.
She's going to love this.,You'd like it.
You'd love it.,You'll like it.
You'll like this.,You'll love it.
You're gonna love this.,You would've liked it.
You would love it.,She will like it.
You're going to like it.,You used to love that.
You'll love this.,You'll love them.
You'll love him.,You'll love her.
You'd love him.,You'd love her.
You would've liked him.,You would've liked her.
You'll like them.,You'll like him.
You'll like her.,You'd like him.
You'd like her.,You would like it.
I don't remember her exact words.,I don't remember his exact words.
No one's in sight.,Nobody's around.
Tom didn't come to the party last night.,Tom didn't show up at the party last night.
Tom made a few serious mistakes.,Tom made a big mistake.
Tom made a serious mistake.,Tom made a huge mistake.
Tom has made several serious mistakes.,Tom made serious errors.
Are you the person in charge?,Are you the one in charge?
Tom is waiting for an answer.,Tom is waiting for a reply.
What's wrong with the way we did it?,What's wrong with what we did?
You're not pregnant.,You are not pregnant.
We can't ignore this problem.,This problem can't be ignored.
You're not even looking at me.,You don't even look at me.
"Every time I listen to this song, I cry.",I cry whenever I listen to this song.
He is not of our number.,He doesn't belong to us.
He's not in our group.,He's not one of us.
It has been two months since my arrival in Tokyo.,It was two months ago that I arrived in Tokyo.
The Second World War was not yet over.,The Second World War isn't over yet.
Tom has a poor memory.,Tom has a terrible memory.
Tom has a nice smile.,Tom has a beautiful smile.
Tom finished second.,Tom ended up in second place.
Tom came second.,Tom was second.
"What kind of sweets did I like as a child? Even if I try to remember, I can't.",I can't remember which sweets I liked as a child.
Sami was dating Layla.,Sami dated Layla.
Sami passed away.,Sami blacked out.
Sami passed out.,Sami lost his life.
Sami phoned Layla.,Sami contacted Layla.
Sami answered the phone.,Sami answered his phone.
Layla was bleeding from the head.,Layla was bleeding in the head.
Sami snapped.,Sami exploded.
Sami approached.,Sami got closer.
Sami left.,Sami is gone.
Sami was gone.,Sami walked.
Sami watched.,Sami was watching.
I will call you tomorrow afternoon.,I will give you a call tomorrow night.
She has no fewer than seven sons.,She has as many as seven children.
He has seven sons.,You have seven children.
You have seven kids.,You have seven sons.
A fox is a wild animal.,Foxes are wild animals.
"Do not fancy yourselves to be special, for you are not so.","Don't think you're special, because you're not!"
Aren't you good at math?,Are you not good at math?
"Opening the door, I found her sleeping.","When I opened the door, I saw that she was sleeping."
Let him finish talking!,Let him finish speaking!
Tom can't sing while he's eating.,"When he is eating, Tom cannot sing."
Tom rushed upstairs.,Tom walked quickly up the stairs.
Tom quickly went up the stairs.,Tom went up the stairs quickly.
I'll come again some other time.,I'll come again another time.
I imagine a house where I'm happy.,I imagine a house in which I would be happy.
She likes my jokes.,He liked my jokes.
I thought this was common knowledge.,I thought it was common knowledge.
I suppose I could help Tom.,I think I could've helped Tom.
I believe that'll happen.,I think that'll happen.
"As a rule, I don't drink coffee.",I usually don't drink coffee.
I know I have no chance of winning.,I know I don't have any chance of winning.
Tom wanted to sell it.,Tom wanted to see it.
I need to speak with you right away.,I need to talk to you now.
Tom is going to come live with us.,Tom will come live with us.
I didn't know her at the time.,I didn't know you then.
I didn't know them then.,I didn't know him then.
I didn't know her then.,I didn't know you at that time.
He has promised never to be late again.,He promised not to be late again.
Has anybody seen Tom?,Has anyone seen Tom?
I don't feel good about it.,I don't have a good feeling about this.
I really like this car.,I really like that car.
I have no regrets about what I did.,I have no regrets for what I have done.
I don't regret what I did.,I don't regret what I've done.
English is taught in most countries.,English is taught in a lot of countries.
It's all I need.,These are all the things that I need.
I have to go to hospital.,I've got to go to the hospital.
He retired at the age of 65.,He retired at 65.
I think Tom is likely to like this movie.,I think Tom will likely like this movie.
He goes to school by bicycle.,She rides her bike to school.
She bikes to school.,He cycles to school.
We just need a little time.,We just need some time.
He is suffering from a cold.,He came down with a cold.
He caught a cold.,She has a cold.
She gave me a look at her new car.,She showed me her new car.
Look at yourself in the mirror.,Look in the mirror.
I received a letter from my friend.,I have received a letter from a friend.
I respect your opinion.,I respect your views.
This made me very sad.,It made me really sad.
I'm mature.,I'm an adult.
I'm a grown-up.,I am an adult.
We're adults.,We're mature.
I'm an adult now.,I'm grown up now.
I have a sore throat.,My throat hurts.
I'll give you a prescription.,I will give him a recipe.
I will give her a recipe.,I will give you a recipe.
How much is the entrance fee?,What's the admission fee?
How much is the admission?,How much does it cost to get in?
What's the price of a ticket?,How much does a ticket cost?
How much is a ticket?,How much does an entrance ticket cost?
You're strict.,You're thorough.
English has become my favorite subject.,English has become my favourite subject.
Sami got home.,Sami returned home.
Sami finally talked.,Sami finally spoke.
Sami continued to talk.,Sami kept talking.
I'll step outside.,I'll get outside.
Sami got married.,Sami is married.
Sami is marrying Layla.,Sami will marry Layla.
Sami used drugs.,Sami took drugs.
Sami did drugs.,Sami was on drugs.
Sami did it.,Sami did that.
Sami did this.,Sami has done it.
It's still dark.,It was still dark.
Sami appeared to be very upset.,Sami seemed pretty upset.
Sami seemed upset.,Sami sounded upset.
Sami became indignant.,Sami got upset.
Something wasn't right.,Something was wrong.
Something felt wrong.,Something seemed amiss.
Sami seemed nice.,Sami seemed cool.
Everyone is confused.,Everybody is confused.
Sami has got trouble.,Sami is in trouble.
She needs help.,She is in need of help.
She needs our help.,She needs assistance.
She needs some help from us.,He needs us to help him.
You've got to help me.,You need help.
He needs help.,You need some help.
You need our help.,You need to help.
He needs a hand.,You must help me.
You just need help.,You're supposed to be helping me.
We must help.,We should help.
We have to help.,We've got to help out.
They're about to leave.,They're about to start.
I have to brush my teeth.,I have to clean my teeth.
What are you washing?,What are you cleaning?
I feel your pain.,I feel their pain.
I feel her pain.,I feel his pain.
Sami started speaking.,Sami began talking.
Sami went outside.,Sami went out.
